"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Aug 12 12:28:07 GMT 2025","Tue Aug 12 12:28:13 GMT 2025","6710","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:28:32 GMT 2025","Tue Aug 12 12:28:34 GMT 2025","1555","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Aug 12 12:27:45 GMT 2025","Tue Aug 12 12:27:46 GMT 2025","1437","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 12 12:28:28 GMT 2025","Tue Aug 12 12:28:30 GMT 2025","1865","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Wed Aug 13 14:53:18 GMT 2025","Wed Aug 13 14:53:20 GMT 2025","1489","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"broken","Tue Aug 12 12:30:28 GMT 2025","Tue Aug 12 12:30:59 GMT 2025","31778","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"failed","Wed Aug 13 14:53:58 GMT 2025","Wed Aug 13 14:54:04 GMT 2025","6218","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Wed Aug 13 14:53:25 GMT 2025","Wed Aug 13 14:53:56 GMT 2025","31494","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"passed","Tue Aug 12 12:27:54 GMT 2025","Tue Aug 12 12:27:56 GMT 2025","1947","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 13 14:53:23 GMT 2025","Wed Aug 13 14:53:25 GMT 2025","1194","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"failed","Tue Aug 12 12:31:15 GMT 2025","Tue Aug 12 12:31:22 GMT 2025","6705","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Aug 13 14:53:16 GMT 2025","Wed Aug 13 14:53:18 GMT 2025","1621","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"broken","Wed Aug 13 14:53:34 GMT 2025","Wed Aug 13 14:53:34 GMT 2025","513","tests","test_successful_registration","","","","test_successful_registration[chromium]",""
"failed","Tue Aug 12 12:31:08 GMT 2025","Tue Aug 12 12:31:14 GMT 2025","6138","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 12 12:27:47 GMT 2025","Tue Aug 12 12:27:48 GMT 2025","1363","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:28:15 GMT 2025","Tue Aug 12 12:28:22 GMT 2025","7158","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"failed","Wed Aug 13 14:53:21 GMT 2025","Wed Aug 13 14:53:27 GMT 2025","6032","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
