"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 13 15:12:28 GMT 2025","Wed Aug 13 15:12:34 GMT 2025","6436","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"failed","Tue Aug 12 12:28:07 GMT 2025","Tue Aug 12 12:28:13 GMT 2025","6710","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:27:57 GMT 2025","Tue Aug 12 12:27:59 GMT 2025","1773","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:28:15 GMT 2025","Tue Aug 12 12:28:22 GMT 2025","7158","LMS system","Authentication","Authorization","","","User login with correct email and password","
        E2E тест успешной авторизации:
        1. Регистрация нового пользователя
        2. Проверка Dashboard и выход из системы
        3. Авторизация с теми же данными
        4. Проверка повторного входа на Dashboard
        "
"passed","Tue Aug 12 12:28:28 GMT 2025","Tue Aug 12 12:28:30 GMT 2025","1865","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"broken","Tue Aug 12 12:29:55 GMT 2025","Tue Aug 12 12:30:26 GMT 2025","31256","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"failed","Wed Aug 13 15:12:36 GMT 2025","Wed Aug 13 15:12:42 GMT 2025","6092","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"passed","Tue Aug 12 12:27:48 GMT 2025","Tue Aug 12 12:27:50 GMT 2025","1372","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:29:08 GMT 2025","Tue Aug 12 12:29:14 GMT 2025","6256","LMS system","Courses","Courses","","","Create course","
        Тест для проверки создания курса.
        Использует фикстуры create_course_page и courses_list_page.
        "
"broken","Wed Aug 13 15:12:50 GMT 2025","Wed Aug 13 15:12:51 GMT 2025","518","tests","test_successful_registration","","","","test_successful_registration[chromium]",""
"passed","Tue Aug 12 12:28:25 GMT 2025","Tue Aug 12 12:28:27 GMT 2025","1460","LMS system","Authentication","Authorization","","","Navigation from login page to registration page","
        Тест навигации со страницы авторизации на страницу регистрации
        "
"passed","Tue Aug 12 12:27:47 GMT 2025","Tue Aug 12 12:27:48 GMT 2025","1363","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"failed","Tue Aug 12 12:31:08 GMT 2025","Tue Aug 12 12:31:14 GMT 2025","6138","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"broken","Tue Aug 12 12:30:28 GMT 2025","Tue Aug 12 12:30:59 GMT 2025","31778","LMS system","Courses","Courses","","","Edit course","
        Тест для проверки редактирования курса.
        E2E тест: создание курса → редактирование → проверка изменений.
        "
"failed","Wed Aug 13 15:12:37 GMT 2025","Wed Aug 13 15:12:43 GMT 2025","6029","LMS system","Courses","Courses","","","Check displaying of empty courses list","
        Тест для проверки пустого списка курсов.
        Использует фикстуру courses_list_page_with_state для работы с авторизованной сессией.
        "
